04/05|Segunda|Manhã|Monteiro Open|11h50|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Masc|VERDE X V-
04/05|Segunda|Manhã|Monteiro Open|11h50|Quadra 1|9º ano Ensino Fundamental II|Basquetebol|Masc|VERMELHO X V-
04/05|Segunda|Manhã|Monteiro Open|11h50|Quadra 2|9º ano Ensino Fundamental II|Basquetebol|Fem|ROXO X V-
05/05|Terça|Manhã|Monteiro Open|8h00|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Fem|VERMELHO X VERDE
05/05|Terça|Manhã|Monteiro Open|8h00|Quadra 1|1º ano Ensino Médio|Basquetebol|Fem|VERMELHO X ROXO
05/05|Terça|Manhã|Monteiro Open|8h00|Quadra 2|6º ano Ensino Fundamental II|Dodgeball|Fem|ROXO X VERDE
05/05|Terça|Manhã|Monteiro Open|8h40|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Masc|VERMELHO X ROXO
05/05|Terça|Manhã|Monteiro Open|8h40|Quadra 1|9º ano Ensino Fundamental II|Basquetebol|Masc|ROXO X VERDE
05/05|Terça|Manhã|Monteiro Open|8h40|Quadra 2|9º ano Ensino Fundamental II|Basquetebol|Fem|VERMELHO X VERDE
05/05|Terça|Manhã|Monteiro Open|9h20|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Fem|ROXO X P-
05/05|Terça|Manhã|Monteiro Open|9h20|Quadra 1|1º ano Ensino Médio|Basquetebol|Fem|VERDE X P-
05/05|Terça|Manhã|Monteiro Open|9h20|Quadra 2|6º ano Ensino Fundamental II|Dodgeball|Fem|VERMELHO X P-
05/05|Terça|Manhã|Monteiro Open|10h30|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Masc|VERDE X P-
05/05|Terça|Manhã|Monteiro Open|10h30|Quadra 1|9º ano Ensino Fundamental II|Basquetebol|Masc|VERMELHO X P-
05/05|Terça|Manhã|Monteiro Open|10h30|Quadra 2|9º ano Ensino Fundamental II|Basquetebol|Fem|ROXO X P-
05/05|Terça|Manhã|Monteiro Open|11h10|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Fem|ROXO X V-
05/05|Terça|Manhã|Monteiro Open|11h10|Quadra 1|1º ano Ensino Médio|Basquetebol|Fem|VERDE X V-
05/05|Terça|Manhã|Monteiro Open|11h10|Quadra 2|6º ano Ensino Fundamental II|Dodgeball|Fem|VERMELHO X V-
05/05|Terça|Manhã|Monteiro Open|11h50|Quadra Grande|7º ano Ensino Fundamental II|Handebol|Masc|VERDE X V-
05/05|Terça|Manhã|Monteiro Open|11h50|Quadra 1|9º ano Ensino Fundamental II|Basquetebol|Masc|VERMELHO X V-
05/05|Terça|Manhã|Monteiro Open|11h50|Quadra 2|9º ano Ensino Fundamental II|Basquetebol|Fem|ROXO X V-
05/05|Terça|Manhã|Colégio Monteiro Lobato|8h00|Quadra Grande Externa|3º ano Ensino Médio|Futsal|Masc|ROXO X VERDE
05/05|Terça|Manhã|Colégio Monteiro Lobato|8h00|Quadra Pequena Externa|3º ano Ensino Médio|Basquete|Fem|VERMELHO X VERDE
05/05|Terça|Manhã|Colégio Monteiro Lobato|8h00|Quadra Coberta|8º ano Ensino Fundamental II|Futsal|Masc|VERMELHO X ROXO
05/05|Terça|Manhã|Colégio Monteiro Lobato|8h00|Quadra de Voleibol Externa|1º ano Ensino Médio|Voleibol|Masc|VERMELHO X VERDE
05/05|Terça|Manhã|Colégio Monteiro Lobato|8h40|Quadra Grande Externa|2º ano Ensino Médio|Basquete|Masc|VERMELHO X ROXO
05/05|Terça|Manhã|Colégio Monteiro Lobato|8h40|Quadra Pequena Externa|2º ano Ensino Médio|Basquete|Fem|ROXO X VERDE
05/05|Terça|Manhã|Colégio Monteiro Lobato|8h40|Quadra Coberta|8º ano Ensino Fundamental II|Futsal|Fem|ROXO X VERDE
05/05|Terça|Manhã|Colégio Monteiro Lobato|8h40|Quadra de Voleibol Externa|6º ano Ensino Fundamental II|Dodgeball|Masc|VERMELHO X VERDE
05/05|Terça|Manhã|Colégio Monteiro Lobato|9h20|Quadra Grande Externa|3º ano Ensino Médio|Futsal|Masc|VERMELHO X P-
05/05|Terça|Manhã|Colégio Monteiro Lobato|9h20|Quadra Pequena Externa|3º ano Ensino Médio|Basquete|Fem|ROXO X P-
05/05|Terça|Manhã|Colégio Monteiro Lobato|9h20|Quadra Coberta|8º ano Ensino Fundamental II|Futsal|Masc|VERDE X P-
05/05|Terça|Manhã|Colégio Monteiro Lobato|9h20|Quadra de Voleibol Externa|1º ano Ensino Médio|Voleibol|Masc|ROXO X P-
